Added client a,2020-05-05 at 07:56:55 EEST
Login Client a,2020-05-05 at 07:57:06 EEST
Update client a,2020-05-05 at 07:57:27 EEST
Added client a,2020-05-05 at 07:59:12 EEST
Login Client a,2020-05-05 at 07:59:21 EEST
Added organizer a,2020-05-05 at 07:59:40 EEST
Login Organizer a,2020-05-05 at 07:59:44 EEST
Update organizer a,2020-05-05 at 07:59:47 EEST
Added client aa,2020-05-05 at 08:58:32 EEST
Added client b,2020-05-05 at 08:59:03 EEST
Login Client b,2020-05-05 at 08:59:09 EEST
Added client x,2020-05-05 at 09:09:58 EEST
Login Client x,2020-05-05 at 09:10:02 EEST
Added client a,2020-05-05 at 10:10:03 EEST
Login Client a,2020-05-05 at 10:10:07 EEST
Added client b,2020-05-05 at 10:10:35 EEST
Login Client a,2020-05-05 at 10:11:00 EEST
Sold Ticket sp-987470659,2020-05-05 at 10:11:30 EEST
Sold Ticket sp-1741397413,2020-05-05 at 10:11:31 EEST
Sold Ticket sp-223036911,2020-05-05 at 10:11:31 EEST
Sold Ticket sp-1859740734,2020-05-05 at 10:11:32 EEST
Sold Ticket mu-701050440,2020-05-05 at 10:11:34 EEST
Sold Ticket cu-1147838058,2020-05-05 at 10:11:36 EEST
Sold Ticket sp-253014645,2020-05-05 at 10:11:37 EEST
Update client a,2020-05-05 at 10:12:09 EEST
Login Client b,2020-05-05 at 10:12:58 EEST
Login Client aa,2020-05-05 at 10:13:43 EEST
Update client aa,2020-05-05 at 10:14:06 EEST
Added client a,2020-05-05 at 10:14:57 EEST
Login Client a,2020-05-05 at 10:15:03 EEST
Sold Ticket sp-320480872,2020-05-05 at 10:15:40 EEST
Sold Ticket mu-117365292,2020-05-05 at 10:16:09 EEST
Sold Ticket sp-1771575836,2020-05-05 at 10:16:10 EEST
Sold Ticket cu-1674829380,2020-05-05 at 10:16:11 EEST
Sold Ticket cu-1558343161,2020-05-05 at 10:16:12 EEST
Sold Ticket mu-103837943,2020-05-05 at 10:16:13 EEST
Sold Ticket mu-1841231558,2020-05-05 at 10:16:14 EEST
Added organizer a,2020-05-05 at 10:16:52 EEST
Login Organizer a,2020-05-05 at 10:17:11 EEST
Update organizer a,2020-05-05 at 10:17:21 EEST
Created Music event music1,2020-05-05 at 10:18:36 EEST
Login Client a,2020-05-05 at 10:18:58 EEST
Sold Ticket mu-1783909737,2020-05-05 at 10:19:02 EEST
Login Organizer a,2020-05-05 at 10:19:05 EEST
Cancel Event music1,2020-05-05 at 10:19:09 EEST
Login Client a,2020-05-05 at 10:19:12 EEST
Login Organizer a,2020-05-05 at 10:19:25 EEST
Login Organizer a,2020-05-05 at 10:19:41 EEST
Login Organizer a,2020-05-05 at 10:26:03 EEST
Login Organizer a,2020-05-05 at 10:26:44 EEST
Login Organizer a,2020-05-05 at 10:29:42 EEST
Login Organizer a,2020-05-05 at 10:33:08 EEST
Added organizer a,2020-05-05 at 10:33:43 EEST
Login Organizer a,2020-05-05 at 10:33:44 EEST
Login Client a,2020-05-05 at 10:33:50 EEST
Added organizer a,2020-05-05 at 10:33:58 EEST
Login Organizer a,2020-05-05 at 10:34:02 EEST
Created Music event a,2020-05-05 at 10:34:12 EEST
Login Client a,2020-05-05 at 10:35:37 EEST
Sold Ticket a-1371300883,2020-05-05 at 10:35:41 EEST
Sold Ticket a-183584931,2020-05-05 at 10:35:47 EEST
Login Organizer a,2020-05-05 at 10:35:51 EEST
Added organizer a,2020-05-05 at 10:36:03 EEST
Login Organizer a,2020-05-05 at 10:36:05 EEST
Created Music event a,2020-05-05 at 10:36:16 EEST
Login Client a,2020-05-05 at 10:36:23 EEST
Sold Ticket a-52702595,2020-05-05 at 10:36:28 EEST
Login Organizer a,2020-05-05 at 10:36:29 EEST
Updated Music event a,2020-05-05 at 10:36:34 EEST
Login Client a,2020-05-05 at 10:36:39 EEST
Added organizer a,2020-05-05 at 10:37:07 EEST
Login Organizer a,2020-05-05 at 10:37:09 EEST
Created Sport event a,2020-05-05 at 10:37:21 EEST
Login Organizer a,2020-05-05 at 10:37:27 EEST
Cancel Event a,2020-05-05 at 10:37:29 EEST
Created Cultural event b,2020-05-05 at 10:37:45 EEST
Added client a,2020-05-05 at 10:38:00 EEST
Login Client a,2020-05-05 at 10:38:02 EEST
Sold Ticket b-427321490,2020-05-05 at 10:38:04 EEST
Login Organizer a,2020-05-05 at 10:38:07 EEST
Cancel Event b,2020-05-05 at 10:38:10 EEST
Login Client a,2020-05-05 at 10:38:12 EEST
Login Organizer a,2020-05-05 at 10:40:55 EEST
Created Music event m,2020-05-05 at 10:41:10 EEST
Updated Music event m,2020-05-05 at 10:41:15 EEST
Created Cultural event c,2020-05-05 at 10:41:30 EEST
Created Sport event s,2020-05-05 at 10:41:43 EEST
Login Client a,2020-05-05 at 10:41:46 EEST
Sold Ticket s-1387641469,2020-05-05 at 10:41:50 EEST
Sold Ticket m-749374503,2020-05-05 at 10:41:51 EEST
Sold Ticket c-884293376,2020-05-05 at 10:41:53 EEST
Cancel Ticket s-1387641469,2020-05-05 at 10:42:18 EEST
Sold Ticket m-769805915,2020-05-05 at 10:42:29 EEST
Sold Ticket s-1638938112,2020-05-05 at 10:42:40 EEST
Login Client a,2020-05-05 at 10:45:04 EEST
Cancel Ticket m-769805915,2020-05-05 at 10:45:09 EEST
Cancel Ticket b-427321490,2020-05-05 at 10:45:11 EEST
Login Organizer a,2020-05-05 at 10:45:31 EEST
Added organizer a,2020-05-05 at 10:45:46 EEST
Login Organizer a,2020-05-05 at 10:45:47 EEST
Created Music event mm,2020-05-05 at 10:46:05 EEST
Created Sport event ss,2020-05-05 at 10:46:19 EEST
Created Cultural event cc,2020-05-05 at 10:46:36 EEST
Login Client a,2020-05-05 at 10:46:40 EEST
Sold Ticket cu-1765081310,2020-05-05 at 10:46:42 EEST
Sold Ticket cc-208531520,2020-05-05 at 10:46:45 EEST
Sold Ticket ss-131832420,2020-05-05 at 10:46:46 EEST
Sold Ticket mm-1564006410,2020-05-05 at 10:46:47 EEST
Login Organizer a,2020-05-05 at 10:46:53 EEST
Cancel Event mm,2020-05-05 at 10:46:57 EEST
Cancel Event ss,2020-05-05 at 10:46:57 EEST
Cancel Event cc,2020-05-05 at 10:46:57 EEST
Login Client a,2020-05-05 at 10:47:01 EEST
Cancel Ticket ss-131832420,2020-05-05 at 10:47:05 EEST
Cancel Ticket cc-208531520,2020-05-05 at 10:47:08 EEST
Cancel Ticket cu-1765081310,2020-05-05 at 10:47:11 EEST
Login Organizer a,2020-05-05 at 10:48:13 EEST
Login Organizer org_a,2020-05-05 at 10:53:11 EEST
Login Organizer org_a,2020-05-05 at 11:02:36 EEST
Login Organizer org_b,2020-05-05 at 11:02:40 EEST
Updated Sport event sport_event_g,2020-05-05 at 11:02:44 EEST
Login Organizer org_b,2020-05-05 at 11:03:07 EEST
Added organizer a,2020-05-05 at 11:03:25 EEST
Login Organizer a,2020-05-05 at 11:03:27 EEST
Login Organizer a,2020-05-05 at 11:03:30 EEST
Login Client client_a,2020-05-06 at 18:36:07 EEST
Cancel Ticket ident_music_f,2020-05-06 at 18:36:28 EEST
Sold Ticket sp-1050444012,2020-05-06 at 18:36:34 EEST
Sold Ticket sp-1200008284,2020-05-06 at 18:36:38 EEST
Sold Ticket sp-587738256,2020-05-06 at 18:36:39 EEST
Sold Ticket sp-105313650,2020-05-06 at 18:36:40 EEST
Cancel Ticket sp-587738256,2020-05-06 at 18:36:56 EEST
Update client client_a,2020-05-06 at 18:37:30 EEST
Login Organizer org_a,2020-05-06 at 18:37:41 EEST
Created Music event a,2020-05-06 at 18:37:57 EEST
Cancel Event a,2020-05-06 at 18:38:07 EEST
Login Organizer org_a,2020-05-06 at 18:40:10 EEST
Login Client client_a,2020-05-07 at 12:31:23 EEST
Added client a,2020-05-12 at 13:55:46 EEST
Login Client a,2020-05-12 at 13:55:49 EEST
Update client a,2020-05-12 at 13:56:01 EEST
Added client +a,2020-05-12 at 15:36:23 EEST
Login Client +a,2020-05-12 at 15:42:11 EEST
Added client client_a_2,2020-05-12 at 16:22:14 EEST
Login Client client_a_2,2020-05-12 at 16:23:16 EEST
Update client client_a_2,2020-05-12 at 16:30:11 EEST
Added client client_test,2020-05-12 at 16:55:21 EEST
Login Client client_test,2020-05-12 at 16:56:00 EEST
Update client client_test,2020-05-12 at 16:59:00 EEST
Sold Ticket Bu-1697486534,2020-05-12 at 16:59:17 EEST
Added client client_c,2020-05-13 at 18:44:56 EEST
Login Client client_c,2020-05-13 at 18:45:20 EEST
Update client client_c,2020-05-13 at 18:48:17 EEST
Sold Ticket Wi-998169969,2020-05-13 at 18:48:49 EEST
Sold Ticket Wi-1100656040,2020-05-13 at 18:48:52 EEST
Sold Ticket Wi-974717018,2020-05-13 at 18:48:54 EEST
Cancel Ticket Wi-998169969,2020-05-13 at 18:49:27 EEST
Login Client client_c,2020-05-13 at 18:50:06 EEST
Added client client_c,2020-05-13 at 18:55:49 EEST
Login Client client_c,2020-05-13 at 18:56:25 EEST
Added client client_d,2020-05-13 at 19:04:54 EEST
Login Client client_d,2020-05-13 at 19:05:59 EEST
Added client a,2020-05-19 at 18:36:30 EEST
Login Client a,2020-05-19 at 18:36:33 EEST
Update client a,2020-05-19 at 18:36:44 EEST
Sold Ticket Wi-952737616,2020-05-19 at 18:36:50 EEST
Added organizer a,2020-05-19 at 18:37:05 EEST
Login Organizer a,2020-05-19 at 18:37:06 EEST
Created Music event x,2020-05-19 at 18:37:22 EEST
Created Sport event y,2020-05-19 at 18:37:37 EEST
Cancel Event y,2020-05-19 at 18:38:15 EEST
Cancel Event x,2020-05-19 at 18:38:15 EEST
Update organizer a,2020-05-19 at 18:38:22 EEST
Added client a,2020-05-19 at 18:38:45 EEST
Login Client a,2020-05-19 at 18:39:10 EEST
Sold Ticket Su-1596429227,2020-05-19 at 18:39:16 EEST
Sold Ticket Wi-2062899802,2020-05-19 at 18:39:17 EEST
Sold Ticket Se-1875395804,2020-05-19 at 18:39:19 EEST
Added organizer a,2020-05-19 at 18:39:27 EEST
Login Organizer a,2020-05-19 at 18:39:29 EEST
Created Music event y,2020-05-19 at 18:39:42 EEST
Login Client a,2020-05-19 at 18:40:15 EEST
Sold Ticket y-1023338212,2020-05-19 at 18:40:19 EEST
Login Organizer a,2020-05-19 at 18:40:21 EEST
Cancel Event y,2020-05-19 at 18:40:24 EEST
Added client username,2020-05-19 at 18:52:32 EEST
Login Client username,2020-05-19 at 18:53:08 EEST
Sold Ticket Su-174521414,2020-05-19 at 18:53:12 EEST
Update client username,2020-05-19 at 18:54:19 EEST
Added organizer usery,2020-05-19 at 18:55:22 EEST
Login Organizer usery,2020-05-19 at 18:55:45 EEST
Created Music event event name,2020-05-19 at 18:56:23 EEST
Update organizer usery,2020-05-19 at 18:56:47 EEST
Added client a,2020-05-25 at 19:50:21 EEST
Login Client a,2020-05-25 at 19:50:39 EEST
Sold Ticket Bu-1643677248,2020-05-25 at 19:50:45 EEST
Sold Ticket Bu-676110938,2020-05-25 at 19:50:47 EEST
Update client a,2020-05-25 at 19:50:58 EEST
Added organizer a,2020-05-25 at 19:51:16 EEST
Login Organizer a,2020-05-25 at 19:51:19 EEST
Created Music event b,2020-05-25 at 19:51:33 EEST
Cancel Event b,2020-05-25 at 19:51:42 EEST
Login Organizer org_a,2020-05-26 at 07:25:05 EEST
Login Organizer org_b,2020-05-26 at 07:25:12 EEST
Updated Sport event Bundesliga,2020-05-26 at 07:25:18 EEST
Added Client a,2020-05-26 at 08:00:17 EEST
Added client a,2020-05-26 at 08:00:17 EEST
Login Client a,2020-05-26 at 08:00:39 EEST
Sold Ticket Bu-1422793534,2020-05-26 at 08:00:44 EEST
Sold Ticket Bu-1417419521,2020-05-26 at 08:00:47 EEST
Cancel Ticket Bu-1422793534,2020-05-26 at 08:00:58 EEST
Update Client a,2020-05-26 at 08:01:06 EEST
Update client a,2020-05-26 at 08:01:06 EEST
Deleted Client a,2020-05-26 at 08:01:10 EEST
Added Organizer a,2020-05-26 at 08:01:19 EEST
